value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
25541,id,34675,id_1,34676,id_2,Четыре человека погибли при крушении легкомоторного самолета в США,text_1,В США 4 человека погибли при крушении легкомоторного самолета,text_2,1,class
25542,id,34677,id_1,34676,id_2,"Легкомоторный самолет упал в штате Вашингтон, 2 человека погибли",text_1,В США 4 человека погибли при крушении легкомоторного самолета,text_2,-1,class
25543,id,34678,id_1,34679,id_2,КНДР заявила о проведении подводного запуска баллистической ракеты,text_1,КНДР провела испытательный подводный пуск баллистической ракеты,text_2,1,class
25544,id,34679,id_1,34680,id_2,КНДР провела испытательный подводный пуск баллистической ракеты,text_1,КНДР сообщила о пробном запуске баллистической ракеты с подлодки,text_2,0,class
25545,id,34678,id_1,34680,id_2,КНДР заявила о проведении подводного запуска баллистической ракеты,text_1,КНДР сообщила о пробном запуске баллистической ракеты с подлодки,text_2,1,class
25546,id,34654,id_1,34681,id_2,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_1,В Москве ограничат движение в связи с Днем Победы,text_2,-1,class
25547,id,34566,id_1,34681,id_2,Облака над Москвой в День Победы разгонят девять самолетов,text_1,В Москве ограничат движение в связи с Днем Победы,text_2,-1,class
25550,id,34682,id_1,34681,id_2,День Победы в режиме онлайн,text_1,В Москве ограничат движение в связи с Днем Победы,text_2,-1,class
25551,id,34683,id_1,34684,id_2,Около 40 китов погибли у берегов Чили,text_1,Около 40 китов выбросились на берег на юге Чили,text_2,1,class
25552,id,34685,id_1,34686,id_2,"Принц Чарльз надеется, что внучка будет заботиться о нем в старости",text_1,Принц Чарльз: Внучка будет заботиться обо мне,text_2,0,class
25553,id,34687,id_1,34688,id_2,Апакан призвал стороны украинского конфликта соблюдать перемирие 9 мая,text_1,В ОБСЕ призвали к миру на Украине 9 Мая,text_2,0,class
25555,id,34691,id_1,34692,id_2,Пентагон: США считают вероятным приобретение Китаем у России Су-35,text_1,В Пентагоне сочли вероятным приобретение Китаем истребителей Су-35,text_2,1,class
25556,id,34693,id_1,34694,id_2,Вице-президент Гватемалы ушла в отставку из-за коррупционного скандала,text_1,Вице-президент Гватемалы оставит свой пост из-за скандала,text_2,0,class
25557,id,34695,id_1,34696,id_2,СМИ: скончался бас-гитарист группы ABBA,text_1,В Швеции скончался бас-гитарист группы ABBA,text_2,1,class
25558,id,34697,id_1,34696,id_2,СМИ: скончался бас-гитарист группы ABBA,text_1,В Швеции скончался бас-гитарист группы ABBA,text_2,1,class
25559,id,34698,id_1,34699,id_2,"""Врачи без границ"": Либерия стала страной, свободной от вируса Эбола",text_1,Либерия признана свободной от лихорадки Эбола территорией,text_2,1,class
25560,id,34700,id_1,34701,id_2,Полиция предотвратила три взрыва в австралийском Мельбурне,text_1,Террористы готовили три взрыва в Австралийском Мельбурне,text_2,-1,class
25561,id,34686,id_1,34702,id_2,Принц Чарльз: Внучка будет заботиться обо мне,text_1,Принц Чарльз выразил надежду на заботу со стороны внучки в старости,text_2,1,class
25562,id,34685,id_1,34702,id_2,"Принц Чарльз надеется, что внучка будет заботиться о нем в старости",text_1,Принц Чарльз выразил надежду на заботу со стороны внучки в старости,text_2,1,class
25563,id,34703,id_1,34704,id_2,Швейцария призвала страны ОБСЕ решать конфликты через диалог ради мира,text_1,ОБСЕ призвала стороны конфликта на Украине к миру 9 мая,text_2,-1,class
25564,id,34705,id_1,34704,id_2,Дачич призвал стороны на Украине отметить 70-летие Победы в духе мира,text_1,ОБСЕ призвала стороны конфликта на Украине к миру 9 мая,text_2,0,class
25566,id,34706,id_1,34707,id_2,Парад самолетов времен Второй мировой войны прошел в Вашингтоне,text_1,Саперы обезвредили в японской Осаке снаряд времен Второй мировой войны,text_2,-1,class
25567,id,34708,id_1,34709,id_2,СМИ: США планируют разместить конвертопланы Osprey в пригороде Токио,text_1,Пентагон решил разместить в пригороде Токио десять конвертопланов,text_2,0,class
25568,id,34690,id_1,34710,id_2,У Деми Мур похитили одежду на 200 тысяч долларов,text_1,У Деми Мур украли одежду на 200 тысяч долларов,text_2,1,class
25569,id,34689,id_1,34710,id_2,"СМИ: полиция США ищет неизвестных, укравших одежду Деми Мур",text_1,У Деми Мур украли одежду на 200 тысяч долларов,text_2,0,class
25570,id,34711,id_1,34712,id_2,Керри призывал не забывать цену победы во Второй мировой войне,text_1,В Госдепе назвали причины победы во Второй мировой войне,text_2,-1,class
25571,id,34713,id_1,34714,id_2,Кадыров: Чечня доставила в Донбасс крупную партию гуманитарной помощи,text_1,Чечня отправила в Донбасс 150 тонн гуманитарной помощи,text_2,0,class
25573,id,34717,id_1,34718,id_2,Российские самолеты пролетели над Бишкеком в ходе парада Победы,text_1,Самолеты ВВС России приняли участие в Параде Победы в Бишкеке,text_2,0,class
25574,id,34719,id_1,34718,id_2,Впервые за многие годы в параде Победы участвовали самолеты ТОФ,text_1,Самолеты ВВС России приняли участие в Параде Победы в Бишкеке,text_2,-1,class
25575,id,34720,id_1,34718,id_2,Почти 10 тысяч сотрудников МЧС примут участие в парадах Победы в РФ,text_1,Самолеты ВВС России приняли участие в Параде Победы в Бишкеке,text_2,-1,class
25576,id,34682,id_1,34721,id_2,День Победы в режиме онлайн,text_1,Парад в честь Дня Победы проходит в Донецке,text_2,-1,class
25578,id,34723,id_1,34724,id_2,В Индии боевики-маоисты захватили 200 человек,text_1,В Индии маоисты захватили в заложники 500 человек,text_2,-1,class
25580,id,34726,id_1,34723,id_2,Боевики-маоисты взяли в заложники 200 человек в одном из штатов Индии,text_1,В Индии боевики-маоисты захватили 200 человек,text_2,1,class
25581,id,34726,id_1,34724,id_2,Боевики-маоисты взяли в заложники 200 человек в одном из штатов Индии,text_1,В Индии маоисты захватили в заложники 500 человек,text_2,0,class
25582,id,34727,id_1,34728,id_2,Парад Победы на Красной площади. Онлайн-трансляция,text_1,В Москве начался Парад Победы,text_2,0,class
25583,id,34729,id_1,34730,id_2,Путин впервые объявил минуту молчания на параде Победы,text_1,Путин на параде Победы указал на опасности «блокового мышления»,text_2,-1,class
25584,id,34731,id_1,34730,id_2,"Путин встречает иностранные делегации, прибывшие на парад Победы",text_1,Путин на параде Победы указал на опасности «блокового мышления»,text_2,-1,class
25585,id,34682,id_1,34732,id_2,День Победы в режиме онлайн,text_1,Президент Армении поздравил соотечественников с Днем Победы,text_2,-1,class
25587,id,34735,id_1,34734,id_2,Крупный пожар вспыхнул на складе на северо-востоке Москвы,text_1,Пожар на северо-востоке Москвы удалось локализовать,text_2,-1,class
25588,id,34736,id_1,34737,id_2,"Танк ""Армата"" прошел по Красной площади",text_1,Танк «Армата» проехал по Красной площади,text_2,1,class
25589,id,34738,id_1,34737,id_2,По Красной площади прошли казаки и крымчане,text_1,Танк «Армата» проехал по Красной площади,text_2,-1,class
25590,id,34739,id_1,34740,id_2,Путин участвует в возложении цветов к могиле Неизвестного солдата,text_1,Порошенко возложил цветы к могиле Неизвестного солдата в Киеве,text_2,-1,class
25591,id,34741,id_1,34740,id_2,Шойгу возложил венок к могиле Неизвестного солдата в Москве,text_1,Порошенко возложил цветы к могиле Неизвестного солдата в Киеве,text_2,-1,class
25592,id,34742,id_1,34743,id_2,Хоккеисты сборной России возложили цветы к мемориалу в Чехии,text_1,Российские хоккеисты возложили цветы к мемориалу в Чехии,text_2,1,class
25593,id,34744,id_1,34745,id_2,Рябков: договоренности о приезде Керри на переговоры с Лавровым нет,text_1,МИД РФ: Договоренности о встречи Керри с Лавровым на сегодня нет,text_2,0,class
25594,id,34606,id_1,34745,id_2,Лавров о возможной встрече с Керри: готов встречаться с ним всегда,text_1,МИД РФ: Договоренности о встречи Керри с Лавровым на сегодня нет,text_2,-1,class
25596,id,34748,id_1,34747,id_2,Юбилейный парад Победы начался на Красной площади,text_1,Европейские СМИ высоко оценили Парад Победы на Красной площади,text_2,-1,class
25597,id,34727,id_1,34747,id_2,Парад Победы на Красной площади. Онлайн-трансляция,text_1,Европейские СМИ высоко оценили Парад Победы на Красной площади,text_2,-1,class
25598,id,34749,id_1,34750,id_2,Греф: Сбербанк с 15 мая снизит ставки по кредитам и депозитам,text_1,Сбербанк снизит ставки по кредитам и депозитам с 15 мая,text_2,1,class
25599,id,34749,id_1,34751,id_2,Греф: Сбербанк с 15 мая снизит ставки по кредитам и депозитам,text_1,Сбербанк на следующей неделе снизит ставки по кредитам и депозитам,text_2,0,class
25600,id,34752,id_1,34753,id_2,"Порошенко заявил, что УПА стала ""другим фронтом"" борьбы с фашизмом",text_1,Порошенко назвал УПА «другим фронтом» борьбы с фашизмом,text_2,0,class
25601,id,34682,id_1,34754,id_2,День Победы в режиме онлайн,text_1,Медведев в Facebook поздравил россиян с Днем Победы,text_2,-1,class
25602,id,34755,id_1,34756,id_2,Стивен Сигал посетил парад Победы в Москве,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,1,class
25603,id,34757,id_1,34756,id_2,Военный парад в честь Дня Победы начался в Цхинвале,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,-1,class
25604,id,34758,id_1,34756,id_2,Военный парад в честь 70-летия Победы начался в Минске,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,-1,class
25605,id,34759,id_1,34756,id_2,Парады в честь 70-летия Победы прошли в трех сибирских городах,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,-1,class
25606,id,34760,id_1,34756,id_2,Президент Египта прибыл в Москву на торжества в честь 70-летия Победы,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,0,class
25607,id,34729,id_1,34761,id_2,Путин впервые объявил минуту молчания на параде Победы,text_1,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_2,-1,class
25608,id,34731,id_1,34761,id_2,"Путин встречает иностранные делегации, прибывшие на парад Победы",text_1,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_2,-1,class
25609,id,34762,id_1,34761,id_2,"ООН: Путин и Пан Ги Мун обсудят в Москве Украину, Сирию и Йемен",text_1,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_2,-1,class
25610,id,34763,id_1,34764,id_2,МВД ДНР: праздничные мероприятия в Донецке проходят без происшествий,text_1,Праздничные мероприятия в Донецке прошли без происшествий,text_2,1,class
25611,id,34765,id_1,34764,id_2,Москаль: праздничные мероприятия проходят без инцидентов,text_1,Праздничные мероприятия в Донецке прошли без происшествий,text_2,0,class
25612,id,34766,id_1,34767,id_2,"Около 15 тысяч человек пришли поклониться ""Воину-освободителю"" в ФРГ",text_1,Около 15 тысяч человек пришли к памятнику Воину-освободителю в Берлине,text_2,1,class
25613,id,34768,id_1,34769,id_2,Суд приговорил экс-президента Египта Хосни Мубарака к 3 годам тюрьмы,text_1,Мубарака приговорили к трем годам тюрьмы за хищения,text_2,1,class
25614,id,34750,id_1,34770,id_2,Сбербанк снизит ставки по кредитам и депозитам с 15 мая,text_1,Сбербанк c 15 мая снизит ставки по кредитам и депозитам,text_2,1,class
25615,id,34751,id_1,34770,id_2,Сбербанк на следующей неделе снизит ставки по кредитам и депозитам,text_1,Сбербанк c 15 мая снизит ставки по кредитам и депозитам,text_2,1,class
25616,id,34749,id_1,34770,id_2,Греф: Сбербанк с 15 мая снизит ставки по кредитам и депозитам,text_1,Сбербанк c 15 мая снизит ставки по кредитам и депозитам,text_2,1,class
25617,id,34768,id_1,34771,id_2,Суд приговорил экс-президента Египта Хосни Мубарака к 3 годам тюрьмы,text_1,Экс-президента Египта Мубарака приговорили к 3 годам тюрьмы,text_2,1,class
25618,id,34739,id_1,34772,id_2,Путин участвует в возложении цветов к могиле Неизвестного солдата,text_1,Владимир Путин возложил цветы к Могиле Неизвестного Солдата,text_2,0,class
25619,id,34773,id_1,34772,id_2,Порошенко возложил цветы к могиле Неизвестного солдата в Киеве,text_1,Владимир Путин возложил цветы к Могиле Неизвестного Солдата,text_2,-1,class
25620,id,34774,id_1,34775,id_2,Путин: Россия и Египет будут развивать отношения совместными усилиями,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,0,class
25621,id,34776,id_1,34775,id_2,Президент Египта: Каир заинтересован в укреплении отношений с Россией,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,-1,class
25623,id,34779,id_1,34778,id_2,"Шествие ""Бессмертного полка"" началось в центре Москвы",text_1,На шествие «Бессмертного полка» в Москве пришли более 140 тысяч человек,text_2,0,class
25624,id,34780,id_1,34781,id_2,Депутат львовского облсовета сорвал с пенсионера георгиевскую ленточку,text_1,Во Львове депутат сорвал с пенсионера георгиевскую ленту,text_2,0,class
25625,id,34782,id_1,34783,id_2,МВД ДНР: военный парад в Донецке посмотрели 20 тысяч человек,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,-1,class
25626,id,34755,id_1,34783,id_2,Стивен Сигал посетил парад Победы в Москве,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,0,class
25627,id,34784,id_1,34783,id_2,Пургин: Порошенко стоило приехать на парад Победы в Донецк,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,-1,class
25628,id,34721,id_1,34783,id_2,Парад в честь Дня Победы проходит в Донецке,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,0,class
25629,id,34785,id_1,34786,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Самолет Airbus A400M упал на завод Coca-Cola в испанской Севилье,text_2,0,class
25631,id,34785,id_1,34788,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Военный самолет упал на завод Coca-Cola в испанской Севилье,text_2,0,class
25633,id,34790,id_1,34791,id_2,"Сотни человек приняли участие в акции ""Бессмертный полк"" в Риге",text_1,Более 250 тысяч человек собрались на акции «Бессмертный полк»,text_2,0,class
25634,id,34777,id_1,34791,id_2,"На шествие ""Бессмертного полка"" в Москве собрались 100 тысяч человек",text_1,Более 250 тысяч человек собрались на акции «Бессмертный полк»,text_2,0,class
25635,id,34682,id_1,34792,id_2,День Победы в режиме онлайн,text_1,День Победы в Крыму отмечают порядка 70 тысяч человек,text_2,-1,class
25636,id,34793,id_1,34794,id_2,NI опубликовал список самого опасного вооружения флота России,text_1,В США опубликован топ-5 самых опасных вооружений ВМФ России,text_2,0,class
25637,id,34795,id_1,34796,id_2,Путин пришел на «Бессмертный полк»,text_1,"Путин: ""Бессмертный полк"" - знак того, что в РФ чтят память погибших",text_2,-1,class
25638,id,34774,id_1,34797,id_2,Путин: Россия и Египет будут развивать отношения совместными усилиями,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,-1,class
25639,id,34776,id_1,34797,id_2,Президент Египта: Каир заинтересован в укреплении отношений с Россией,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,-1,class
25640,id,34790,id_1,34798,id_2,"Сотни человек приняли участие в акции ""Бессмертный полк"" в Риге",text_1,В марше «Бессмертный полк» в разных странах приняли участие миллион человек,text_2,-1,class
25641,id,34799,id_1,34800,id_2,МВД насчитало 200 тыс участников празднования Дня Победы в Севастополе,text_1,МВД насчитало 250 тыс. участников акции «Бессмертный полк» в Москве,text_2,-1,class
25642,id,34801,id_1,34802,id_2,Сборная России по хоккею разгромила белорусов в матче ЧМ в Чехии,text_1,Сборная России забросила семь безответных шайб белорусам на ЧМ,text_2,1,class
25643,id,34787,id_1,34803,id_2,Военно-транспортный самолет упал на завод Coca-Cola в Испании,text_1,В Испании военный самолет упал на завод Coca-Cola,text_2,1,class
25644,id,34788,id_1,34803,id_2,Военный самолет упал на завод Coca-Cola в испанской Севилье,text_1,В Испании военный самолет упал на завод Coca-Cola,text_2,1,class
25645,id,34785,id_1,34803,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,В Испании военный самолет упал на завод Coca-Cola,text_2,0,class
25646,id,34804,id_1,34805,id_2,Лидер КНДР направил президенту России поздравления с Днем Победы,text_1,Президент России поздравил граждан Украины и Грузии с 70-летием Победы,text_2,-1,class
25647,id,34806,id_1,34805,id_2,Президент Армении прибыл в Россию на торжества по случаю Победы,text_1,Президент России поздравил граждан Украины и Грузии с 70-летием Победы,text_2,-1,class
25648,id,34785,id_1,34807,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Жертвами крушения военного самолета в Испании стали от 8 до 10 человек,text_2,-1,class
