,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
25,25487,id,34584,id_1,34602,id_2,9 мая метрополитен Петербурга будет работать круглосуточно,text_1,"Посол США – РБК: «Горд, что буду представлять США 9 мая»",text_2,-1,class
30,25501,id,34618,id_1,34615,id_2,"Прокуратура пока не решила, обжаловать ли приговор Васильевой",text_1,Защита Васильевой обжалует приговор суда,text_2,-1,class
32,25504,id,34620,id_1,34621,id_2,Евродоклад по безвизовому режиму Украины с ЕС удивил Киев,text_1,ЕС не предоставит Украине и Грузии безвизовый режим,text_2,-1,class
34,25506,id,34624,id_1,34625,id_2,Украинские силовики сообщили о гибели двух военных в Донбассе за сутки,text_1,Украинские военные сбили в Донбассе израильский беспилотник,text_2,-1,class
44,25519,id,34644,id_1,34645,id_2,Россия представляет принципиально новый танк,text_1,Вашингтон пригрозил России новыми санкциями,text_2,-1,class
46,25521,id,34648,id_1,34649,id_2,Результаты выборов в Великобритании укрепили фунт,text_1,Стали известны окончательные результаты выборов в Великобритании,text_2,-1,class
48,25523,id,34652,id_1,34653,id_2,СМИ сообщают об обысках в Минкульте по делу о контрабанде. Минкульт опровергает,text_1,Минкультуры отчиталось перед следствием по делу о контрабанде картин,text_2,-1,class
49,25525,id,34519,id_1,34654,id_2,Любляна отпразднует День Победы вместе с Москвой,text_1,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_2,-1,class
50,25526,id,34655,id_1,34654,id_2,Премьер Словакии прибыл в Москву для участия в мероприятиях 9 мая,text_1,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_2,-1,class
51,25527,id,34591,id_1,34654,id_2,Кремль: Порошенко не был приглашен в Москву на парад 9 мая,text_1,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_2,-1,class
52,25528,id,34656,id_1,34657,id_2,«Прогресс» сгорел над Тихим океаном,text_1,Путин: кооперация с Китаем поспособствует притоку инвестиций в ЕАЭС,text_2,-1,class
53,25529,id,34658,id_1,34659,id_2,Дворнику на Римского-Корсакова подкинули трехмесячного младенца,text_1,Светлана Медведева награждена высшим орденом РПЦ,text_2,-1,class
54,25530,id,34660,id_1,34661,id_2,СМИ: украинский боксер разгневал своих фанатов георгиевской ленточкой,text_1,Украинский боксер удалил фотографию с георгиевской ленточкой из Instagram,text_2,-1,class
56,25532,id,34664,id_1,34665,id_2,"Греция подтвердила США интерес к газопроводу от ""Турецкого потока""",text_1,США предложили Греции отказаться от участия в «Турецком потоке»,text_2,-1,class
57,25533,id,34666,id_1,34665,id_2,Хаджииоанну: США могут предложить Греции лишь сжиженный газ,text_1,США предложили Греции отказаться от участия в «Турецком потоке»,text_2,-1,class
58,25534,id,34576,id_1,34667,id_2,Разговор о роли России во Второй мировой войне,text_1,Консервативная партия получила большинство в британском парламенте,text_2,-1,class
59,25535,id,34654,id_1,34668,id_2,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_1,Лукашенко назвал надуманной проблему своего отсутствия 9 Мая в Москве,text_2,-1,class
60,25536,id,34669,id_1,34668,id_2,Коморовский: отсутствие Меркель в Москве 9 мая важно для Польши,text_1,Лукашенко назвал надуманной проблему своего отсутствия 9 Мая в Москве,text_2,-1,class
66,25542,id,34677,id_1,34676,id_2,"Легкомоторный самолет упал в штате Вашингтон, 2 человека погибли",text_1,В США 4 человека погибли при крушении легкомоторного самолета,text_2,-1,class
70,25546,id,34654,id_1,34681,id_2,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_1,В Москве ограничат движение в связи с Днем Победы,text_2,-1,class
71,25547,id,34566,id_1,34681,id_2,Облака над Москвой в День Победы разгонят девять самолетов,text_1,В Москве ограничат движение в связи с Днем Победы,text_2,-1,class
72,25550,id,34682,id_1,34681,id_2,День Победы в режиме онлайн,text_1,В Москве ограничат движение в связи с Днем Победы,text_2,-1,class
81,25560,id,34700,id_1,34701,id_2,Полиция предотвратила три взрыва в австралийском Мельбурне,text_1,Террористы готовили три взрыва в Австралийском Мельбурне,text_2,-1,class
84,25563,id,34703,id_1,34704,id_2,Швейцария призвала страны ОБСЕ решать конфликты через диалог ради мира,text_1,ОБСЕ призвала стороны конфликта на Украине к миру 9 мая,text_2,-1,class
86,25566,id,34706,id_1,34707,id_2,Парад самолетов времен Второй мировой войны прошел в Вашингтоне,text_1,Саперы обезвредили в японской Осаке снаряд времен Второй мировой войны,text_2,-1,class
90,25570,id,34711,id_1,34712,id_2,Керри призывал не забывать цену победы во Второй мировой войне,text_1,В Госдепе назвали причины победы во Второй мировой войне,text_2,-1,class
93,25574,id,34719,id_1,34718,id_2,Впервые за многие годы в параде Победы участвовали самолеты ТОФ,text_1,Самолеты ВВС России приняли участие в Параде Победы в Бишкеке,text_2,-1,class
94,25575,id,34720,id_1,34718,id_2,Почти 10 тысяч сотрудников МЧС примут участие в парадах Победы в РФ,text_1,Самолеты ВВС России приняли участие в Параде Победы в Бишкеке,text_2,-1,class
95,25576,id,34682,id_1,34721,id_2,День Победы в режиме онлайн,text_1,Парад в честь Дня Победы проходит в Донецке,text_2,-1,class
96,25578,id,34723,id_1,34724,id_2,В Индии боевики-маоисты захватили 200 человек,text_1,В Индии маоисты захватили в заложники 500 человек,text_2,-1,class
100,25583,id,34729,id_1,34730,id_2,Путин впервые объявил минуту молчания на параде Победы,text_1,Путин на параде Победы указал на опасности «блокового мышления»,text_2,-1,class
101,25584,id,34731,id_1,34730,id_2,"Путин встречает иностранные делегации, прибывшие на парад Победы",text_1,Путин на параде Победы указал на опасности «блокового мышления»,text_2,-1,class
102,25585,id,34682,id_1,34732,id_2,День Победы в режиме онлайн,text_1,Президент Армении поздравил соотечественников с Днем Победы,text_2,-1,class
103,25587,id,34735,id_1,34734,id_2,Крупный пожар вспыхнул на складе на северо-востоке Москвы,text_1,Пожар на северо-востоке Москвы удалось локализовать,text_2,-1,class
105,25589,id,34738,id_1,34737,id_2,По Красной площади прошли казаки и крымчане,text_1,Танк «Армата» проехал по Красной площади,text_2,-1,class
106,25590,id,34739,id_1,34740,id_2,Путин участвует в возложении цветов к могиле Неизвестного солдата,text_1,Порошенко возложил цветы к могиле Неизвестного солдата в Киеве,text_2,-1,class
107,25591,id,34741,id_1,34740,id_2,Шойгу возложил венок к могиле Неизвестного солдата в Москве,text_1,Порошенко возложил цветы к могиле Неизвестного солдата в Киеве,text_2,-1,class
110,25594,id,34606,id_1,34745,id_2,Лавров о возможной встрече с Керри: готов встречаться с ним всегда,text_1,МИД РФ: Договоренности о встречи Керри с Лавровым на сегодня нет,text_2,-1,class
111,25596,id,34748,id_1,34747,id_2,Юбилейный парад Победы начался на Красной площади,text_1,Европейские СМИ высоко оценили Парад Победы на Красной площади,text_2,-1,class
112,25597,id,34727,id_1,34747,id_2,Парад Победы на Красной площади. Онлайн-трансляция,text_1,Европейские СМИ высоко оценили Парад Победы на Красной площади,text_2,-1,class
116,25601,id,34682,id_1,34754,id_2,День Победы в режиме онлайн,text_1,Медведев в Facebook поздравил россиян с Днем Победы,text_2,-1,class
118,25603,id,34757,id_1,34756,id_2,Военный парад в честь Дня Победы начался в Цхинвале,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,-1,class
119,25604,id,34758,id_1,34756,id_2,Военный парад в честь 70-летия Победы начался в Минске,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,-1,class
120,25605,id,34759,id_1,34756,id_2,Парады в честь 70-летия Победы прошли в трех сибирских городах,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,-1,class
122,25607,id,34729,id_1,34761,id_2,Путин впервые объявил минуту молчания на параде Победы,text_1,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_2,-1,class
123,25608,id,34731,id_1,34761,id_2,"Путин встречает иностранные делегации, прибывшие на парад Победы",text_1,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_2,-1,class
124,25609,id,34762,id_1,34761,id_2,"ООН: Путин и Пан Ги Мун обсудят в Москве Украину, Сирию и Йемен",text_1,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_2,-1,class
134,25619,id,34773,id_1,34772,id_2,Порошенко возложил цветы к могиле Неизвестного солдата в Киеве,text_1,Владимир Путин возложил цветы к Могиле Неизвестного Солдата,text_2,-1,class
136,25621,id,34776,id_1,34775,id_2,Президент Египта: Каир заинтересован в укреплении отношений с Россией,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,-1,class
139,25625,id,34782,id_1,34783,id_2,МВД ДНР: военный парад в Донецке посмотрели 20 тысяч человек,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,-1,class
141,25627,id,34784,id_1,34783,id_2,Пургин: Порошенко стоило приехать на парад Победы в Донецк,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,-1,class
147,25635,id,34682,id_1,34792,id_2,День Победы в режиме онлайн,text_1,День Победы в Крыму отмечают порядка 70 тысяч человек,text_2,-1,class
149,25637,id,34795,id_1,34796,id_2,Путин пришел на «Бессмертный полк»,text_1,"Путин: ""Бессмертный полк"" - знак того, что в РФ чтят память погибших",text_2,-1,class
150,25638,id,34774,id_1,34797,id_2,Путин: Россия и Египет будут развивать отношения совместными усилиями,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,-1,class
151,25639,id,34776,id_1,34797,id_2,Президент Египта: Каир заинтересован в укреплении отношений с Россией,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,-1,class
152,25640,id,34790,id_1,34798,id_2,"Сотни человек приняли участие в акции ""Бессмертный полк"" в Риге",text_1,В марше «Бессмертный полк» в разных странах приняли участие миллион человек,text_2,-1,class
153,25641,id,34799,id_1,34800,id_2,МВД насчитало 200 тыс участников празднования Дня Победы в Севастополе,text_1,МВД насчитало 250 тыс. участников акции «Бессмертный полк» в Москве,text_2,-1,class
158,25646,id,34804,id_1,34805,id_2,Лидер КНДР направил президенту России поздравления с Днем Победы,text_1,Президент России поздравил граждан Украины и Грузии с 70-летием Победы,text_2,-1,class
159,25647,id,34806,id_1,34805,id_2,Президент Армении прибыл в Россию на торжества по случаю Победы,text_1,Президент России поздравил граждан Украины и Грузии с 70-летием Победы,text_2,-1,class
160,25648,id,34785,id_1,34807,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Жертвами крушения военного самолета в Испании стали от 8 до 10 человек,text_2,-1,class
162,25650,id,34809,id_1,34810,id_2,Почему в России празднуют победу 9 мая 2015,text_1,Представитель: ЕС предпочел бы праздновать Победу вместе с Россией,text_2,-1,class
163,25652,id,34813,id_1,34812,id_2,"Адмирал Кольдефи: Франция может продать ""Мистрали"" третьим странам",text_1,Рогозин рассказал о невозможности для Франции продать «Мистрали»,text_2,-1,class
165,25655,id,34818,id_1,34819,id_2,Дипломаты стран СНГ возложили венки к памятнику воинам в Базеле,text_1,Президент Словении возложил венок к Памятнику советскому солдату,text_2,-1,class
167,25657,id,34821,id_1,34819,id_2,Лукашенко возложил венок к памятнику Победы в Минске,text_1,Президент Словении возложил венок к Памятнику советскому солдату,text_2,-1,class
171,25662,id,34827,id_1,34828,id_2,Генсек ООН благодарен Путину за парад Победы,text_1,Генсек ООН: Путин заслужил любовь своего народа,text_2,-1,class
173,25664,id,34831,id_1,34830,id_2,В День Победы посетить ВДНХ могут более миллиона человек,text_1,День Победы в России отметили более восьми миллионов человек,text_2,-1,class
176,25667,id,34762,id_1,34833,id_2,"ООН: Путин и Пан Ги Мун обсудят в Москве Украину, Сирию и Йемен",text_1,Пан Ги Мун отметил вклад Путина в сохранение у россиян приверженности миру,text_2,-1,class
177,25668,id,34834,id_1,34835,id_2,"Акция ""Бессмертный полк"" в центре Москвы завершается",text_1,Полиция насчитала полмиллиона участников шествия «Бессмертный полк» в Москве,text_2,-1,class
178,25669,id,34777,id_1,34835,id_2,"На шествие ""Бессмертного полка"" в Москве собрались 100 тысяч человек",text_1,Полиция насчитала полмиллиона участников шествия «Бессмертный полк» в Москве,text_2,-1,class
179,25670,id,34779,id_1,34835,id_2,"Шествие ""Бессмертного полка"" началось в центре Москвы",text_1,Полиция насчитала полмиллиона участников шествия «Бессмертный полк» в Москве,text_2,-1,class
181,25672,id,34827,id_1,34836,id_2,Генсек ООН благодарен Путину за парад Победы,text_1,Генсек ООН увидел на Дне Победы «заслуженную любовь» народа к Путину,text_2,-1,class
188,25680,id,34785,id_1,34849,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Премьер Испании прибыл на место крушения военного самолета в Севилье,text_2,-1,class
190,25682,id,34682,id_1,34852,id_2,День Победы в режиме онлайн,text_1,Торжества по случаю Дня Победы в ЛНР завершились праздничным салютом,text_2,-1,class
191,25683,id,34809,id_1,34853,id_2,Почему в России празднуют победу 9 мая 2015,text_1,"OP: Польша должна учиться у России, как праздновать Победу",text_2,-1,class
192,25684,id,34682,id_1,34854,id_2,День Победы в режиме онлайн,text_1,Торжества по случаю Дня Победы в ЛНР завершились праздничным салютом,text_2,-1,class
197,25690,id,34834,id_1,34857,id_2,"Акция ""Бессмертный полк"" в центре Москвы завершается",text_1,В акции «Бессмертный полк» участвовали 12 миллионов россиян,text_2,-1,class
198,25691,id,34860,id_1,34857,id_2,"Акция ""Бессмертный полк"" прошла в Вене",text_1,В акции «Бессмертный полк» участвовали 12 миллионов россиян,text_2,-1,class
199,25692,id,34790,id_1,34857,id_2,"Сотни человек приняли участие в акции ""Бессмертный полк"" в Риге",text_1,В акции «Бессмертный полк» участвовали 12 миллионов россиян,text_2,-1,class
202,25696,id,34799,id_1,34862,id_2,МВД насчитало 200 тыс участников празднования Дня Победы в Севастополе,text_1,МВД: В торжествах на День Победы участвовали 20 миллионов россиян,text_2,-1,class
203,25697,id,34754,id_1,34862,id_2,Медведев в Facebook поздравил россиян с Днем Победы,text_1,МВД: В торжествах на День Победы участвовали 20 миллионов россиян,text_2,-1,class
204,25698,id,34863,id_1,34864,id_2,"Пан Ги Мун заметил, как россияне любят Путина",text_1,ООН: Пан Ги Мун обсудил с Путиным украинский конфликт,text_2,-1,class
206,25700,id,34867,id_1,34868,id_2,Один из реакторов АЭС Indian Point около Нью-Йорка аварийно остановлен,text_1,На АЭС под Нью-Йорком произошел взрыв,text_2,-1,class
209,25704,id,34830,id_1,34871,id_2,День Победы в России отметили более восьми миллионов человек,text_1,Путин остался доволен празднованием Дня Победы в России,text_2,-1,class
224,25724,id,34902,id_1,34901,id_2,Число погибших в результате катастрофы Airbus A400M достигло четырех,text_1,Стало известно число погибших в результате стрельбы в Швейцарии,text_2,-1,class
227,25727,id,34907,id_1,34906,id_2,Визит лидера КНР в Белоруссию пройдет 10-12 мая,text_1,Глава КНР прибыл с визитом в Белоруссию,text_2,-1,class
233,25737,id,34920,id_1,34919,id_2,Президент Чехии: санкции против России - это краткосрочная мера,text_1,Песков: Президенты России и Чехии не обсуждали сроки отмены санкций,text_2,-1,class
234,25738,id,34839,id_1,34919,id_2,Президент Чехии: Санкции против России могут быть сняты в этом году,text_1,Песков: Президенты России и Чехии не обсуждали сроки отмены санкций,text_2,-1,class
236,25740,id,34923,id_1,34924,id_2,Пожарные потушили загоревшийся после жесткой посадки самолет Ан-2,text_1,Под Азовом совершил аварийную посадку самолет Ан-2,text_2,-1,class
239,25743,id,34929,id_1,34928,id_2,Глава МВД Украины обозвал идиотом депутата за георгиевскую ленточку,text_1,В МВД Украины решили законодательно запретить ношение георгиевских ленточек,text_2,-1,class
251,25758,id,34932,id_1,34951,id_2,СК возбудил дела после бунта заключенных в башкирской колонии,text_1,УФСИН сообщила о подавлении бунта в башкирской колонии,text_2,-1,class
255,25762,id,34958,id_1,34959,id_2,Во второй тур выборов президента Польши вышли Коморовский и Дуда,text_1,Коморовский верит в победу во втором туре выборов президента Польши,text_2,-1,class
256,25763,id,34886,id_1,34958,id_2,В Польше начались выборы президента страны,text_1,Во второй тур выборов президента Польши вышли Коморовский и Дуда,text_2,-1,class
257,25765,id,34961,id_1,34958,id_2,Exit poll: Коморовский не переизбран президентом Польши в первом туре,text_1,Во второй тур выборов президента Польши вышли Коморовский и Дуда,text_2,-1,class
258,25766,id,34962,id_1,34958,id_2,Голосование на выборах президента Польши завершилось в США,text_1,Во второй тур выборов президента Польши вышли Коморовский и Дуда,text_2,-1,class
259,25767,id,34885,id_1,34958,id_2,Избирательные участки открылись в Польше на выборах президента,text_1,Во второй тур выборов президента Польши вышли Коморовский и Дуда,text_2,-1,class
266,25774,id,34883,id_1,34974,id_2,"Двоих полицейских убили в штате Миссисипи, подозреваемого разыскивают",text_1,В штате Миссисипи задержаны подозреваемые в убийстве двух полицейских,text_2,-1,class
270,25778,id,34980,id_1,34981,id_2,Марокканский истребитель F-16 из состава ВВС коалиции пропал в Йемене,text_1,Истребитель ВВС Марокко из аравийской коалиции сбит в Йемене,text_2,-1,class
274,25782,id,34963,id_1,34986,id_2,МЧС России направило в Непал 30 тонн гуманитарной помощи,text_1,Спасатели МЧС России вылетели из Непала в Москву,text_2,-1,class
275,25783,id,34987,id_1,34986,id_2,Российские спасатели собираются 11 мая вернуться в Россию из Непала,text_1,Спасатели МЧС России вылетели из Непала в Москву,text_2,-1,class
282,25791,id,35001,id_1,35000,id_2,Шойгу: Минобороны России удовлетворено совместными учениями с Китаем,text_1,В Минобороны РФ заявили об общих вызовах и угрозах для России и Китая,text_2,-1,class
289,25800,id,35015,id_1,35016,id_2,НАТО: четкий сигнал Путину,text_1,"Кэмерон назначил министров по делам бизнеса и культуры, спорта и СМИ",text_2,-1,class
290,25802,id,34982,id_1,35017,id_2,Марокканский истребитель F-16 из состава ВВС коалиции пропал в Йемене,text_1,Хуситы в Йемене заявили о сбитом истребители марроканских ВВС,text_2,-1,class
292,25805,id,35021,id_1,35022,id_2,В Кремль на прием по случаю Дня России будут приглашены 1200 человек,text_1,Путин поручил провести в День России прием в Кремле,text_2,-1,class
293,25806,id,35023,id_1,35024,id_2,Около 10 кораблей из России и Китая проведут учения в Cредиземноморье,text_1,ВМФ России и Китая проведут несколько совместных учений в 2015 году,text_2,-1,class
294,25807,id,35001,id_1,35024,id_2,Шойгу: Минобороны России удовлетворено совместными учениями с Китаем,text_1,ВМФ России и Китая проведут несколько совместных учений в 2015 году,text_2,-1,class
300,25813,id,35035,id_1,35036,id_2,Сотрудники ОБСЕ попали под обстрел украинских военных под Луганском,text_1,Украинский солдат обстрелял членов миссии ОБСЕ,text_2,-1,class
301,25815,id,34985,id_1,35038,id_2,Российские спасатели вылетели из Непала в Москву,text_1,Тела погибших в Непале российских дипломатов доставили в Москву,text_2,-1,class
304,25818,id,35043,id_1,35042,id_2,Первым президентом банка БРИКС станет экс-глава индийского банка ICICI,text_1,Греции предложили стать членом банка развития БРИКС,text_2,-1,class
306,25820,id,35011,id_1,35045,id_2,Донецк готовится к параду в честь Дня республики,text_1,На улицы Донецка в День Республики вышли 43 тысячи человек,text_2,-1,class
312,25828,id,35057,id_1,35058,id_2,Эксперты из России и Белоруссии направились с проверкой в Эстонию,text_1,Российские военные эксперты направились с проверкой в Эстонию,text_2,-1,class
314,25830,id,35061,id_1,35062,id_2,Дуда обошел Коморовского в первом туре президентских выборов в Польше,text_1,ЦИК огласил результаты первого тура выборов в Польше,text_2,-1,class
315,25831,id,35063,id_1,35062,id_2,Избирком Польши частично обнародовал результаты президентских выборов,text_1,ЦИК огласил результаты первого тура выборов в Польше,text_2,-1,class
316,25832,id,35064,id_1,35065,id_2,Источник: премьер Греции во время ПМЭФ хочет встретиться с Путиным,text_1,Египетский министр ушел в отставку из-за высказывания о детях уборщиков,text_2,-1,class
320,25837,id,35073,id_1,35072,id_2,Картина Пикассо стала самым дорогим произведением в мире,text_1,"Самой дорогой скульптурой в мире стал ""Указующий человек"" Джакометти",text_2,-1,class
322,25839,id,35076,id_1,35077,id_2,Лужков назвал свою ферму примером для российского правительства,text_1,Лужков назвал российскую экономику «антинародной»,text_2,-1,class
326,25843,id,35083,id_1,35084,id_2,"Один человек погиб, четверо ранены в результате стрельбы в США",text_1,Три человека ранены при стрельбе около университета в США,text_2,-1,class
327,25844,id,35085,id_1,35086,id_2,Инвестпроекты по сокращению выбросов парниковых газов простимулируют,text_1,Правительство ужесточит ответственность за выброс парниковых газов,text_2,-1,class
328,25845,id,35087,id_1,35088,id_2,Президент Чехии допустил вступление России в Евросоюз через 20 лет,text_1,Президент Чехии допустил снятие антироссийских санкций ЕС до конца года,text_2,-1,class
330,25848,id,35030,id_1,35092,id_2,Кремль: Решения о встрече Путина с Керри пока нет,text_1,Кремль подтвердил встречу Путина и Керри,text_2,-1,class
331,25849,id,35093,id_1,35092,id_2,Песков: повестка встречи Путина с Керри широкая,text_1,Кремль подтвердил встречу Путина и Керри,text_2,-1,class
333,25851,id,35095,id_1,35092,id_2,"Госдеп: США считают, что встреча Путина с Керри в Сочи состоится",text_1,Кремль подтвердил встречу Путина и Керри,text_2,-1,class
334,25852,id,35029,id_1,35092,id_2,"Решение о встрече Путина с Керри в Сочи ещё не принято, сообщил Песков",text_1,Кремль подтвердил встречу Путина и Керри,text_2,-1,class
336,25854,id,35098,id_1,35097,id_2,"СМИ: США и Японии должно быть стыдно, глядя на Россию и Китай",text_1,"СМИ: США солгали о том, как был ликвидирован бен Ладен",text_2,-1,class
337,25857,id,35101,id_1,35099,id_2,МИД России и Госдеп подтвердили сведения о встрече Лаврова и Керри в Сочи,text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,-1,class
338,25858,id,35030,id_1,35099,id_2,Кремль: Решения о встрече Путина с Керри пока нет,text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,-1,class
341,25861,id,35102,id_1,35099,id_2,Госдеп: встреча Керри по Сирии в Сочи может стать шагом урегулирования,text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,-1,class
342,25862,id,35095,id_1,35099,id_2,"Госдеп: США считают, что встреча Путина с Керри в Сочи состоится",text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,-1,class
343,25863,id,35029,id_1,35099,id_2,"Решение о встрече Путина с Керри в Сочи ещё не принято, сообщил Песков",text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,-1,class
345,25865,id,35105,id_1,35106,id_2,ОПЕК надеется на нефть по $76 за баррель к 2025 году,text_1,В Минфине предложили обнулить пошлину на нефть к 2025 году,text_2,-1,class
347,25867,id,35075,id_1,35107,id_2,"В Индонезии произошло землетрясение магнитудой 5,3",text_1,"В Непале произошло землетрясение магнитудой 7,4",text_2,-1,class
350,25870,id,35074,id_1,35107,id_2,"Землетрясение магнитудой 5,3 произошло на севере Индонезии",text_1,"В Непале произошло землетрясение магнитудой 7,4",text_2,-1,class
355,25876,id,35111,id_1,35112,id_2,Владимир Путин встретится в Сочи с Джоном Керри,text_1,Керри прибыл в Сочи для переговоров с Путиным и Лавровым,text_2,-1,class
358,25880,id,35119,id_1,35120,id_2,Два человека погибли в Индии в результате землетрясений в Непале,text_1,Четыре человека погибли в результате нового землетрясения в Непале,text_2,-1,class
359,25881,id,35121,id_1,35120,id_2,Аэропорт в столице Непала закрыт в связи с новым землетрясением,text_1,Четыре человека погибли в результате нового землетрясения в Непале,text_2,-1,class
361,25883,id,35123,id_1,35120,id_2,Четыре землетрясения зафиксированы в Непале во вторник,text_1,Четыре человека погибли в результате нового землетрясения в Непале,text_2,-1,class
362,25884,id,35103,id_1,35120,id_2,"В Непале произошло новое землетрясение магнитудой 7,0",text_1,Четыре человека погибли в результате нового землетрясения в Непале,text_2,-1,class
363,25885,id,35124,id_1,35125,id_2,СМИ: попавший в ДТП с туристами в Египте автобус принадлежал Blue Sky,text_1,СМИ сообщили о гибели россиянина в ДТП в Египте,text_2,-1,class
364,25886,id,35126,id_1,35125,id_2,Ростуризм: консульство не подтверждает гибель россиянина в Египте,text_1,СМИ сообщили о гибели россиянина в ДТП в Египте,text_2,-1,class
365,25887,id,35127,id_1,35125,id_2,"Ростуризм выясняет, были ли россияне автобусе, попавшем в ДТП в Египте",text_1,СМИ сообщили о гибели россиянина в ДТП в Египте,text_2,-1,class
366,25888,id,35128,id_1,35129,id_2,Китай и Россия продолжают сближение,text_1,"Робертс: ни Россия, ни Китай уже не станут частью ""вассалитета"" США",text_2,-1,class
368,25890,id,35120,id_1,35132,id_2,Четыре человека погибли в результате нового землетрясения в Непале,text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
369,25891,id,35104,id_1,35132,id_2,В Непале зафиксировано новое землетрясение силой 7 баллов,text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
370,25892,id,35119,id_1,35132,id_2,Два человека погибли в Индии в результате землетрясений в Непале,text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
371,25893,id,35121,id_1,35132,id_2,Аэропорт в столице Непала закрыт в связи с новым землетрясением,text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
372,25894,id,35122,id_1,35132,id_2,По меньшей мере четыре человека стали жертвами землетрясений в Непале,text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
373,25895,id,35103,id_1,35132,id_2,"В Непале произошло новое землетрясение магнитудой 7,0",text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
374,25896,id,35133,id_1,35132,id_2,"Число жертв землетрясения в Непале превысило 8,1 тысячи человек",text_1,Жертвами нового землетрясения в Непале стали 26 человек,text_2,-1,class
