,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
88,25568,id,34690,id_1,34710,id_2,У Деми Мур похитили одежду на 200 тысяч долларов,text_1,У Деми Мур украли одежду на 200 тысяч долларов,text_2,1,class
97,25580,id,34726,id_1,34723,id_2,Боевики-маоисты взяли в заложники 200 человек в одном из штатов Индии,text_1,В Индии боевики-маоисты захватили 200 человек,text_2,1,class
104,25588,id,34736,id_1,34737,id_2,"Танк ""Армата"" прошел по Красной площади",text_1,Танк «Армата» проехал по Красной площади,text_2,1,class
108,25592,id,34742,id_1,34743,id_2,Хоккеисты сборной России возложили цветы к мемориалу в Чехии,text_1,Российские хоккеисты возложили цветы к мемориалу в Чехии,text_2,1,class
113,25598,id,34749,id_1,34750,id_2,Греф: Сбербанк с 15 мая снизит ставки по кредитам и депозитам,text_1,Сбербанк снизит ставки по кредитам и депозитам с 15 мая,text_2,1,class
117,25602,id,34755,id_1,34756,id_2,Стивен Сигал посетил парад Победы в Москве,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,1,class
125,25610,id,34763,id_1,34764,id_2,МВД ДНР: праздничные мероприятия в Донецке проходят без происшествий,text_1,Праздничные мероприятия в Донецке прошли без происшествий,text_2,1,class
127,25612,id,34766,id_1,34767,id_2,"Около 15 тысяч человек пришли поклониться ""Воину-освободителю"" в ФРГ",text_1,Около 15 тысяч человек пришли к памятнику Воину-освободителю в Берлине,text_2,1,class
128,25613,id,34768,id_1,34769,id_2,Суд приговорил экс-президента Египта Хосни Мубарака к 3 годам тюрьмы,text_1,Мубарака приговорили к трем годам тюрьмы за хищения,text_2,1,class
129,25614,id,34750,id_1,34770,id_2,Сбербанк снизит ставки по кредитам и депозитам с 15 мая,text_1,Сбербанк c 15 мая снизит ставки по кредитам и депозитам,text_2,1,class
130,25615,id,34751,id_1,34770,id_2,Сбербанк на следующей неделе снизит ставки по кредитам и депозитам,text_1,Сбербанк c 15 мая снизит ставки по кредитам и депозитам,text_2,1,class
131,25616,id,34749,id_1,34770,id_2,Греф: Сбербанк с 15 мая снизит ставки по кредитам и депозитам,text_1,Сбербанк c 15 мая снизит ставки по кредитам и депозитам,text_2,1,class
132,25617,id,34768,id_1,34771,id_2,Суд приговорил экс-президента Египта Хосни Мубарака к 3 годам тюрьмы,text_1,Экс-президента Египта Мубарака приговорили к 3 годам тюрьмы,text_2,1,class
154,25642,id,34801,id_1,34802,id_2,Сборная России по хоккею разгромила белорусов в матче ЧМ в Чехии,text_1,Сборная России забросила семь безответных шайб белорусам на ЧМ,text_2,1,class
155,25643,id,34787,id_1,34803,id_2,Военно-транспортный самолет упал на завод Coca-Cola в Испании,text_1,В Испании военный самолет упал на завод Coca-Cola,text_2,1,class
156,25644,id,34788,id_1,34803,id_2,Военный самолет упал на завод Coca-Cola в испанской Севилье,text_1,В Испании военный самолет упал на завод Coca-Cola,text_2,1,class
161,25649,id,34780,id_1,34808,id_2,Депутат львовского облсовета сорвал с пенсионера георгиевскую ленточку,text_1,Львовский депутат сорвал георгиевскую ленточку с пенсионера,text_2,1,class
164,25654,id,34816,id_1,34817,id_2,Супруга Михаэля Шумахера продала личный самолет стоимостью 34 млн евро,text_1,Жена Шумахера продала личный самолет гонщика,text_2,1,class
168,25658,id,34822,id_1,34823,id_2,"МВД: в акции ""Бессмертный полк"" в Москве участвуют 400 тысяч человек",text_1,"Более 400 тысяч москвичей приняли участие в марше ""Бессмертный полк""",text_2,1,class
170,25661,id,34826,id_1,34825,id_2,"Рогозин: очередь на покупку ЗРПК ""Панцирь"" сформирована до 2019 года",text_1,За российскими комплексами «Панцирь» выстроилась очередь до 2019 года,text_2,1,class
172,25663,id,34829,id_1,34830,id_2,МВД: более 8 миллионов человек отмечают День Победы по всей России,text_1,День Победы в России отметили более восьми миллионов человек,text_2,1,class
182,25673,id,34837,id_1,34838,id_2,"Земан считает, что антироссийские санкции могут отменить до конца года",text_1,Президент Чехии допустил отмену антироссийских санкций до конца года,text_2,1,class
183,25674,id,34839,id_1,34838,id_2,Президент Чехии: Санкции против России могут быть сняты в этом году,text_1,Президент Чехии допустил отмену антироссийских санкций до конца года,text_2,1,class
184,25675,id,34840,id_1,34841,id_2,"Рогозин рассчитывает, что пуск с ""Восточного"" состоится в декабре",text_1,"Рогозин: Надеюсь, что пуск с Восточного состоится в декабре",text_2,1,class
186,25678,id,34842,id_1,34846,id_2,"Мэр Москвы Собянин заработал более 7,2 миллиона рублей за 2014 год",text_1,"Мэр Москвы Сергей Собянин заработал за год 7,2 млн рублей",text_2,1,class
187,25679,id,34847,id_1,34848,id_2,Путин посоветовал Лаврову и Земану бросить курить,text_1,Путин посоветовал Земану и Лаврову бросить курить,text_2,1,class
195,25687,id,34858,id_1,34857,id_2,"В шествии ""Бессмертного полка"" участвовали 12 миллионов россиян",text_1,В акции «Бессмертный полк» участвовали 12 миллионов россиян,text_2,1,class
200,25693,id,34861,id_1,34862,id_2,МВД: около 20 миллионов россиян приняли участие в торжествах 9 мая,text_1,МВД: В торжествах на День Победы участвовали 20 миллионов россиян,text_2,1,class
205,25699,id,34865,id_1,34866,id_2,Легенда футбола Пеле покинул больницу после операции,text_1,Футболист Пеле после успешной операции выписан из больницы,text_2,1,class
211,25706,id,34873,id_1,34874,id_2,ЮНИСЕФ: Непалу угрожает холера из-за антисанитарии после землетрясения,text_1,ЮНИСЕФ предупредил об угрозе холеры после землетрясения в Непале,text_2,1,class
216,25712,id,34883,id_1,34884,id_2,"Двоих полицейских убили в штате Миссисипи, подозреваемого разыскивают",text_1,Неизвестный застрелил двух полицейских в штате Миссисипи,text_2,1,class
218,25714,id,34887,id_1,34888,id_2,Снегопад оставил без света 35 тысяч южноуральцев,text_1,Снегопад в Челябинской области оставил без света 35 тысяч жителей,text_2,1,class
219,25715,id,34889,id_1,34890,id_2,Пассажирский самолет выехал за пределы взлетно-посадочной полосы в КНР,text_1,Самолет выехал за пределы взлетно-посадочной полосы в Китае,text_2,1,class
220,25718,id,34895,id_1,34896,id_2,СМИ: несколько человек погибли при стрельбе в Швейцарии,text_1,В результате стрельбы в Швейцарии погибли несколько человек,text_2,1,class
222,25722,id,34865,id_1,34900,id_2,Легенда футбола Пеле покинул больницу после операции,text_1,Пеле выписали из больницы,text_2,1,class
229,25729,id,34909,id_1,34910,id_2,Меркель приехала в Москву,text_1,Канцлер ФРГ Ангела Меркель прибыла в Москву,text_2,1,class
231,25733,id,34909,id_1,34914,id_2,Меркель приехала в Москву,text_1,Ангела Меркель прибыла в Москву,text_2,1,class
235,25739,id,34921,id_1,34922,id_2,СМИ: АНБ следило за Siemens из-за предполагаемых связей с РФ,text_1,СМИ сообщили о слежке АНБ за Siemens из-за возможных связей с ФСО России,text_2,1,class
237,25741,id,34925,id_1,34926,id_2,Самолет Lufthansa вернулся в аэропорт Стамбула из-за угрозы взрыва,text_1,Самолет Lufthansa вернулся в Стамбул из-за угрозы теракта,text_2,1,class
243,25747,id,34935,id_1,34936,id_2,Путин: Германия стала первой жертвой нацистского режима,text_1,Путин назвал Германию первой жертвой нацистского режима,text_2,1,class
244,25748,id,34937,id_1,34938,id_2,СМИ: пожар в аэропорту Рима мог начаться с портативного кондиционера,text_1,Пожар в аэропорту Рима мог начаться с кондиционера,text_2,1,class
247,25754,id,34944,id_1,34946,id_2,СМИ: пилота в Амстердаме оштрафовали за нахождение в пьяном виде,text_1,В Амстердаме оштрафован пилот за употребление алкоголя перед вылетом,text_2,1,class
252,25759,id,34952,id_1,34953,id_2,МИД России: Керри отметил огромный вклад народа СССР в разгром фашизма,text_1,Госсекретарь США подчеркнул огромный вклад СССР в разгром фашизма,text_2,1,class
260,25768,id,34963,id_1,34964,id_2,МЧС России направило в Непал 30 тонн гуманитарной помощи,text_1,Самолет МЧС России доставит в Непал 30 тонн гуманитарной помощи,text_2,1,class
262,25770,id,34967,id_1,34968,id_2,У памятника Воинам Освободителям 9 мая отметили 220 тысяч жителей Риги,text_1,В Риге юбилей Победы отметили более 220 тысяч человек,text_2,1,class
264,25772,id,34971,id_1,34972,id_2,При столкновении автобусов в Мексике 8 человек погибли и 44 пострадали,text_1,Восемь человек погибли и 44 ранены при столкновении автобусов в Мексике,text_2,1,class
268,25776,id,34977,id_1,34978,id_2,В США после пожара на АЭС в реку Гудзон попала нефть,text_1,В США после аварии на АЭС нефтепродукты попали в реку Гудзон,text_2,1,class
273,25781,id,34985,id_1,34986,id_2,Российские спасатели вылетели из Непала в Москву,text_1,Спасатели МЧС России вылетели из Непала в Москву,text_2,1,class
276,25784,id,34988,id_1,34989,id_2,В Японии в результате ДТП госпитализировано более 30 человек,text_1,В Японии более 30 человек госпитализированы после ДТП с автобусом,text_2,1,class
280,25788,id,34990,id_1,34996,id_2,Президент Франции Франсуа Олланд прибыл с официальным визитом на Кубу,text_1,Президент Франции прибыл с официальным визитом на Кубу,text_2,1,class
281,25789,id,34997,id_1,34998,id_2,Военные на севере Ирака отбили атаку ИГ на нефтяное месторождение,text_1,"Иракские военные отбили атаку ""ИГ"" на нефтяное месторождение",text_2,1,class
283,25792,id,35002,id_1,35003,id_2,Источник: глава ЕК предлагает ввести для стран ЕС квоты на иммигрантов,text_1,Глава Еврокомиссии предложил ввести квоты на иммигрантов для стран ЕС,text_2,1,class
286,25796,id,35004,id_1,35008,id_2,"Гражданка России приговорена в Индонезии к 16,5 года тюрьмы",text_1,"Россиянку приговорили в Индонезии к 16,5 года тюрьмы за ввоз наркотиков",text_2,1,class
288,25799,id,35013,id_1,35014,id_2,Мэрия Москвы отказалась увековечить память Немцова,text_1,Московская мэрия отказалась увековечить память Немцова,text_2,1,class
291,25803,id,35006,id_1,35018,id_2,Верховный суд Швеции оставил в силе ордер на арест Ассанжа,text_1,Верховный суд Швеции оставил в силе ордер на арест Джулиана Ассанжа,text_2,1,class
295,25808,id,35025,id_1,35026,id_2,"Пушилин: альтернатива соблюдению ""Минска-2"" - срыв мирного процесса",text_1,"Пушилин: Альтернатива ""Минска-2"" - срыв мирного процесса",text_2,1,class
296,25809,id,35027,id_1,35028,id_2,Русские педагоги оштрафованы в Эстонии за плохое владение госязыком,text_1,В Эстонии учителей русскоязычных школ оштрафовали за плохое знание госязыка,text_2,1,class
297,25810,id,35029,id_1,35030,id_2,"Решение о встрече Путина с Керри в Сочи ещё не принято, сообщил Песков",text_1,Кремль: Решения о встрече Путина с Керри пока нет,text_2,1,class
298,25811,id,35031,id_1,35032,id_2,Двое заключенных погибли при беспорядках в американской тюрьме,text_1,Во время беспорядков в американской тюрьме погибли двое заключенных,text_2,1,class
299,25812,id,35033,id_1,35034,id_2,Земан: растет число стран ЕС - противников антироссийских санкций,text_1,Земан рассказал о росте числа противников антироссийских санкций,text_2,1,class
303,25817,id,35041,id_1,35042,id_2,Грецию пригласили стать членом банка развития БРИКС,text_1,Греции предложили стать членом банка развития БРИКС,text_2,1,class
310,25824,id,35046,id_1,35051,id_2,"Гендиректор ФК ""Спартак"" Асхабадзе покинет клуб по окончании сезона",text_1,"Гендиректор ""Спартака"" уйдет из клуба",text_2,1,class
311,25826,id,35053,id_1,35054,id_2,Комитет ЕП призвал Евросоюз критически переоценить отношения с Россией,text_1,Комитет Европарламента призвал ЕС пересмотреть отношения с Россией,text_2,1,class
319,25836,id,35071,id_1,35072,id_2,"""Указующий человек"" Джакометти стал самой дорогой скульптурой в мире",text_1,"Самой дорогой скульптурой в мире стал ""Указующий человек"" Джакометти",text_2,1,class
321,25838,id,35074,id_1,35075,id_2,"Землетрясение магнитудой 5,3 произошло на севере Индонезии",text_1,"В Индонезии произошло землетрясение магнитудой 5,3",text_2,1,class
335,25853,id,35096,id_1,35097,id_2,"СМИ: власти США солгали о том, как был убит бен Ладен",text_1,"СМИ: США солгали о том, как был ликвидирован бен Ладен",text_2,1,class
344,25864,id,35103,id_1,35104,id_2,"В Непале произошло новое землетрясение магнитудой 7,0",text_1,В Непале зафиксировано новое землетрясение силой 7 баллов,text_2,1,class
352,25872,id,35107,id_1,35110,id_2,"В Непале произошло землетрясение магнитудой 7,4",text_1,"Сейсмологи уточнили магнитуду нового землетрясения в Непале - 7,4",text_2,1,class
360,25882,id,35122,id_1,35120,id_2,По меньшей мере четыре человека стали жертвами землетрясений в Непале,text_1,Четыре человека погибли в результате нового землетрясения в Непале,text_2,1,class
367,25889,id,35130,id_1,35131,id_2,"Песков: никакой роли авторство акции ""Бессмертный полк"" не играет",text_1,"Песков: Авторство ""Бессмертного полка"" не играет никакой роли",text_2,1,class
379,25901,id,35141,id_1,35142,id_2,"Кремль отреагировал на планы Порошенко ""освободить"" донецкий аэропорт",text_1,В Кремле отреагировали на обещание Порошенко вернуть донецкий аэропорт,text_2,1,class
393,25916,id,35159,id_1,35158,id_2,"Состояние боксера Бойцова нормализуется, сообщила его жена",text_1,Жена Бойцова рассказала о стабилизации состояния боксера,text_2,1,class
399,25924,id,35170,id_1,35171,id_2,Не менее 90 человек погибли в столице Йемена в результате авиаударов,text_1,СМИ: 90 человек погибли в Йемене из-за авиаударов,text_2,1,class
417,25945,id,35188,id_1,35189,id_2,Главред RT сообщила о взломе сайта телеканала,text_1,Сайт телеканала RT подвергся хакерской атаке,text_2,1,class
419,25948,id,35193,id_1,35194,id_2,Браки с трансгендерами могут запретить,text_1,Депутаты предложили запретить браки с трансгендерами,text_2,1,class
420,25949,id,35192,id_1,35194,id_2,Законопроект о запрете браков с трансгендерами внесен в Госдуму,text_1,Депутаты предложили запретить браки с трансгендерами,text_2,1,class
425,25955,id,35203,id_1,35204,id_2,Боевые корабли России и КНР отправились на учение в Средиземное море,text_1,Корабли ВМФ России и Китая отправились на учения в Средиземном море,text_2,1,class
432,25962,id,35214,id_1,35215,id_2,МИД РФ: Попытки давить на Россию санкциями - тупиковый путь,text_1,МИД РФ: попытки давить на Россию с помощью санкций - тупиковый путь,text_2,1,class
440,25970,id,35210,id_1,35221,id_2,Минтруд обсудит идею внесения личного взноса на накопительную пенсию,text_1,Минтруд вернулся к идее ввести личный взнос на накопительную пенсию,text_2,1,class
444,25974,id,35226,id_1,35227,id_2,"Путин и Керри обсудили ситуацию на Украине, сообщил Ушаков",text_1,Путин и Керри обсудили ситуацию на Украине,text_2,1,class
450,25980,id,35231,id_1,35229,id_2,Встреча Путина с Лавровым и Керри продлилась около четырех часов,text_1,Встреча Путина с Керри продолжалась четыре часа,text_2,1,class
457,25987,id,35234,id_1,35235,id_2,Путин досрочно прекратил полномочия губернатора Ленинградской области,text_1,Путин досрочно прекратил полномочия губернатора Ленобласти,text_2,1,class
458,25988,id,35236,id_1,35237,id_2,Керри: попытки Киева отбить аэропорт Донецка были бы деструктивны,text_1,Керри назвал деструктивными возможные попытки Киева отбить аэропорт Донецка,text_2,1,class
480,26012,id,35266,id_1,35267,id_2,Белый дом: США и Куба проведут новый раунд переговоров в конце мая,text_1,США и Куба до конца мая проведут новый раунд переговоров,text_2,1,class
483,26015,id,35271,id_1,35272,id_2,"СМИ: Иран начнет войну, если атакуют его судно с гумпомощью для Йемена",text_1,Иран начнет войну в случае атаки на его судно с гумпомощью для Йемена,text_2,1,class
487,26019,id,35275,id_1,35276,id_2,"Билл Клинтон готов вернуться в Белый дом, если жена победит на выборах",text_1,Билл Клинтон вернется в Белый дом в случае победы Хиллари на выборах,text_2,1,class
506,26038,id,35293,id_1,35292,id_2,В результате стрельбы в военном лагере в Сеуле погибли двое,text_1,В результате стрельбы в военном лагере в Сеуле погибли два человека,text_2,1,class
509,26041,id,35294,id_1,35295,id_2,"Банк России отозвал лицензию у екатеринбургского ""Плато-банка""",text_1,ЦБ отозвал лицензию у екатеринбургского «Плато-банка»,text_2,1,class
511,26043,id,35294,id_1,35298,id_2,"Банк России отозвал лицензию у екатеринбургского ""Плато-банка""",text_1,ЦБ отозвал лицензию у екатеринбургского Плато-банка,text_2,1,class
512,26046,id,35302,id_1,35303,id_2,"Квартира, в которой 12 лет жил Федерико Феллини, выставлена на продажу",text_1,В Риме выставили на продажу квартиру Федерико Феллини,text_2,1,class
520,26055,id,35312,id_1,35313,id_2,ЦБ в 2014 году сократил долю доллара в резервах в пользу евро и фунта,text_1,Центробанк сократил долю доллара в резервах в пользу евро и фунта,text_2,1,class
521,26056,id,35314,id_1,35315,id_2,ФБР не видит оснований считать крушение поезда в Филадельфии терактом,text_1,ФБР: Доказательств теракта в поезде в Филадельфии нет,text_2,1,class
534,26071,id,35335,id_1,35336,id_2,В результате взрыва на фабрике под Неаполем погиб человек,text_1,Один человек погиб во время взрыва на фабрике фейерверков в Неаполе,text_2,1,class
545,26084,id,35348,id_1,35349,id_2,Жертвами пожара на обувной фабрике в Маниле стали три человека,text_1,Три человека погибли во время пожара на обувной фабрике в Маниле,text_2,1,class
553,26096,id,35356,id_1,35362,id_2,Доллар упал ниже 49 рублей,text_1,Биржевой курс доллара упал ниже 49 руб.,text_2,1,class
558,26101,id,35366,id_1,35367,id_2,Пожар произошел в одном из цехов машиностроительного завода в Москве,text_1,На северо-западе столицы произошел пожар на машиностроительном заводе,text_2,1,class
560,26103,id,35369,id_1,35370,id_2,ФСИН попросила заменить условное наказание Навальному на пять лет колонии,text_1,ФСИН просит заменить Навальному условный срок 5 годами колонии,text_2,1,class
569,26113,id,35383,id_1,35384,id_2,Украина начала антимонопольное расследование против «Газпрома»,text_1,Украина начала проверку «Газпрома» на нарушение антимонопольного законодательства,text_2,1,class
570,26114,id,35385,id_1,35386,id_2,Суд отказался заменить условный срок Навальному на реальный,text_1,Суд отказался заменить Навальному условный срок заключением в колонии,text_2,1,class
572,26116,id,35388,id_1,35389,id_2,МИД Белоруссии: Заседание подгруппы по Украине ожидается 14 мая,text_1,МИД Белоруссии: экономическая подгруппа по Украине соберется 14 мая,text_2,1,class
576,26121,id,35393,id_1,35394,id_2,"Суд продлил Навальному испытательный срок до 5,5 лет",text_1,"Суд продлил до 5,5 лет испытательный срок Навальному",text_2,1,class
577,26123,id,35397,id_1,35396,id_2,СК опроверг данные о завершении расследования теракта на Дубровке,text_1,СКР опроверг окончание расследования дела о теракте на Дубровке,text_2,1,class
583,26133,id,35414,id_1,35415,id_2,Минфин: решение о создании санатора страховщиков на базе АСВ принято,text_1,На базе АСВ создадут санатор страховых компаний,text_2,1,class
586,26136,id,35419,id_1,35420,id_2,Певица Сара Брайтман отложила полет на МКС по семейным обстоятельствам,text_1,Брайтман отложила свой турполет в космос по семейным обстоятельствам,text_2,1,class
594,26144,id,35428,id_1,35431,id_2,На лечение в Москву доставлены 18 тяжелобольных детей из Донбасса,text_1,В Москву доставили 18 тяжелобольных детей из Донбасса,text_2,1,class
598,26148,id,35434,id_1,35435,id_2,Полиция: дело Бойцова закроют после разговора следователей с боксером,text_1,СМИ: Дело Бойцова будет закрыто после его разговора со следователями,text_2,1,class
612,26166,id,35464,id_1,35465,id_2,Число жертв пожара на обувной фабрике на Филиппинах достигло 35,text_1,В результате пожара на филиппинской обувной фабрике погибли 35 человек,text_2,1,class
620,26176,id,35477,id_1,35476,id_2,Ъ: Греф предложил ограничить число выплат страховки по вкладам,text_1,Греф предложил ограничить число страховых выплат по вкладам,text_2,1,class
635,26193,id,35492,id_1,35494,id_2,Источник: актер РАМТ Степан Морозов покончил с собой,text_1,Актер РАМТ Степан Морозов покончил с собой,text_2,1,class
639,26197,id,35497,id_1,35498,id_2,Сторчак: Россия по-прежнему не намерена реструктурировать долг Украины,text_1,Россия отказалась прощать Украине долги,text_2,1,class
655,26219,id,35527,id_1,35528,id_2,Прокуратура просит отправить в колонию сына чиновника Смольного,text_1,Сыну чиновника Смольного грозит колония за откаты по валидаторам,text_2,1,class
662,26226,id,35537,id_1,35538,id_2,Страны Балтии попросят НАТО о постоянном военном контингенте в регионе,text_1,Польша и балтийские страны попросили разместить у себя контингент НАТО,text_2,1,class
667,26231,id,35542,id_1,35543,id_2,Экс-главу упраздненного ГУМВД по СЗФО обвинили в растрате,text_1,Экс-главе ГУ МВД по СЗФО предъявили обвинение в растрате,text_2,1,class
671,26235,id,35549,id_1,35550,id_2,Флагман ЧФ отправился в Средиземное море на учения с ВМС Китая,text_1,"Крейсер ""Москва"" отправился в Средиземное море на учения с ВМС Китая",text_2,1,class
679,26244,id,35566,id_1,35567,id_2,Боевики ИГ обезглавили 10 человек неподалеку от развалин Пальмиры,text_1,"Боевики ""ИГ"" обезглавили 10 пленников в Сирии",text_2,1,class
682,26251,id,35577,id_1,35574,id_2,СМИ: иранские катера обстреляли танкер в Персидском заливе,text_1,Иранские катера обстреляли танкер в Персидском заливе,text_2,1,class
685,26255,id,35583,id_1,35584,id_2,Десять человек погибли и 19 ранены в ДТП с автобусом в Мексике,text_1,"В Мексике столкнулись автобус и грузовик: 10 погибших, 19 раненых",text_2,1,class
691,26262,id,35595,id_1,35596,id_2,"Спортивный самолет разбился в турецкой Конье, три человека ранены",text_1,Три человека пострадали при крушении спортивного самолета в Турции,text_2,1,class
700,26276,id,35613,id_1,35612,id_2,Маккейн отказался войти в консультативный совет при президенте Украины,text_1,Маккейн отказался войти в совет при Порошенко,text_2,1,class
704,26282,id,35617,id_1,35618,id_2,Кандидат в мэры мексиканского города застрелен на предвыборном митинге,text_1,В Мексике кандидата в мэры застрелили на предвыборном митинге,text_2,1,class
706,26284,id,35621,id_1,35622,id_2,Скончался легенда блюза Би Би Кинг,text_1,Скончался знаменитый музыкант Би Би Кинг,text_2,1,class
716,26294,id,35637,id_1,35638,id_2,Мост между Канадой и США назовут в честь хоккеиста Горди Хоу,text_1,Новый мост между Канадой и США назовут в честь хоккеиста Горди Хоу,text_2,1,class
717,26295,id,35639,id_1,35638,id_2,Новый мост между США и Канадой получит имя легенды НХЛ Горди Хоу,text_1,Новый мост между Канадой и США назовут в честь хоккеиста Горди Хоу,text_2,1,class
719,26297,id,35633,id_1,35640,id_2,Павел Астахов извинился за слова о «сморщенных женщинах»,text_1,Астахов извинился за слова о «сморщенных женщинах»,text_2,1,class
720,26299,id,35643,id_1,35644,id_2,"Джонни Депп срочно покинет Австралию, чтобы спасти своих собак",text_1,Джонни Депп решил увезти своих собак из Австралии после угроз усыпить их,text_2,1,class
723,26302,id,35628,id_1,35649,id_2,Яценюк недоволен встречей Джона Керри с Путиным в Сочи,text_1,Яценюк выразил недовольство встречей Путина и Керри в Сочи,text_2,1,class
725,26305,id,35652,id_1,35653,id_2,Правительство приняло решение об отмене экспортной пошлины на пшеницу,text_1,Правительство отменило экспортную пошлину на пшеницу,text_2,1,class
